Name,URL,Building_Location,Location,Region,Independency,Job_opportunities,Colloquiums,OCW,latitude,longitude
MIT,https://space.mit.edu,"MIT Kavli Institute for Astrophysics and Space Research
Massachusetts Institute of Technology
77 Massachusetts Avenue, McNair Building (MIT Building 37)
Cambridge, MA 02139","77 Massachusetts Ave, Cambridge, MA 02139美國","Cosmology,Exoplanets,Extragalactic astrophysics,First stars,Cosmic structure,Galactic astrophysics,Heliophysics,Gravitational Radiaition,Supernovae,Neutron stars,Blackhole",Yes,,,,42.3592962,-71.09308333
Stanford,https://physics.stanford.edu/research/theoretical-astrophysics-and-cosmology,"Varian Physics, Room 108,382 Via Pueblo Mall,Stanford, CA 94305-4060","450 Serra Mall, Stanford, CA 94305美國","Experimental and Observational Astrophysics and Cosmology,Theoretical Astrophysics and Cosmology,Cosmology",No,https://physics.stanford.edu/about/job-opportunities,,,37.4282802,-122.1663537
Harvard,https://astronomy.fas.harvard.edu,"Harvard Astronomy Department
60 Garden Street, MS 46
Cambridge, MA 02138","44 Brackett St, Brighton, MA 02135美國","Compact Objects,Education and History of Astronomy,Extrasolar Planets,High-Energy Astrophysics,Instrumentation,Observational Cosmology,Stars and Stellar Evolution,Stars and the Interstellar Medium,Theoretical Cosmology,Transients",Yes,,,,42.35105238,-71.16537888
University Of Cambridge,https://www.ast.cam.ac.uk/,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA","The Old Schools, Trinity Ln, Cambridge CB2 1TN英國","Cosmology and Fundamental Physics,Galaxies, Active Galactic Nuclei and Quasars,Instrumentation, Surveys and Projects,Milky Way and Local Group Stars,Star Formation and Exoplanets,Stars and Stellar Evolution,X-ray Astrophysics",Yes,https://www.ast.cam.ac.uk/people/vacancies,,,52.20533055,0.1169200339
University Of Oxford,https://www2.physics.ox.ac.uk/research/astrophysics#,"Clarendon Laboratory
Parks Road
Oxford
OX1 3PU",Oxford OX1 2JD,"cosmology,galaxies and black holes,stars and planets,Instrumentation",No,,,,51.7589881,-1.257013
UC Berkely,https://astro.berkeley.edu,"Department of Astronomy
501 Campbell Hall #3411
University of California at Berkeley","Berkeley, CA, 美國",,Yes,https://astro.berkeley.edu/about/jobs-and-fellowships/,,,37.8708393,-122.272863
Caltech,https://www.astro.caltech.edu,"1200 East California Boulevard
Pasadena, California 91125","1200 E California Blvd, Pasadena, CA 91125美國",,Yes,https://www.astro.caltech.edu/join-us,https://www.astro.caltech.edu/talks-events,,34.1359033,-118.1243083
Princeton,https://web.astro.princeton.edu,"Department of Astrophysical Sciences4 Ivy LanePrinceton University, Princeton, NJ 08544","Princeton, NJ 08544美國","Computational Astrophysics,Cosmology,Galactic,Extragalactic,High-energy,Instrumentation,ISM,Planetary,Plasma,Stellar,Space",Yes,https://web.astro.princeton.edu/jobs,https://web.astro.princeton.edu/events/colloquia,,40.3422888,-74.6588462
ETH,https://ipa.phys.ethz.ch,,"Rämistrasse 101, 8092 Zürich, 瑞士",,No,,https://ipa.phys.ethz.ch/education/colloquium-ipa/current_semester.html,,47.3762613,8.547163418
University Of Tokyo,https://www.s.u-tokyo.ac.jp/en/story/newsletter/attraction/05.html,,,,,,,,35.71276459,139.7614633
Imperical College London,https://www.imperial.ac.uk/astrophysics,"South Kensington Campus London SW7 2AZ, UK","Exhibition Rd, South Kensington, London SW7 2BX英國","Sun,Stars,Planets,Cosmology,Galaxy evolution",Yes,https://www.imperial.ac.uk/jobs/,,,51.4981715,-0.1740421
UCLA,http://www.astro.ucla.edu,"430 Portola Plaza, Box 951547, Los Angeles, CA","Los Angeles, CA 90095","Galactic centre,IR astronomy,Planetary science,Extrasolar planet,Galaxy evolution,Stellar and galactic astronomy,Cosmology,High energy astrophysics",No,https://www.pa.ucla.edu/open-positions.html,,,34.0536909,-118.242766
Tsinghua University,http://astro.tsinghua.edu.cn,"6th floor, MongManWai Building,
     Tsinghua University,
     Beijing 100084, China",中國北京市海淀区双清路30号,"Galaxy,Cosmology,High Energy,Exoplanets",Yes,http://astro.tsinghua.edu.cn/index.php/opportunities/opportunities-professors,,,40.00229045,116.320963
EPFL,https://www.epfl.ch/labs/lastro/,,"Route Cantonale, 1015 Lausanne, 瑞士","Dark Energy,Dark Matter,Cosmology,Galaxy Formation and Evolution",No,https://www.epfl.ch/about/working/,,,46.51922505,6.567904932
NUS,https://www.physics.nus.edu.sg,"Faculty of Science Science Drive 3 Blk S12, Level 2 Singapore 117551","21 Lower Kent Ridge Rd, 新加坡 119077",Cosmology,No,,,,1.296664551,103.7773122
University Of Illinois At Urbana-Champaign,https://astro.illinois.edu,"University of Illinois Urbana-Champaign
1002 W. Green Street
Urbana, IL 61801","Champaign, IL, 美國","Compact Objects,Computation & Data,Cosmology,Galaxies & ISM,Instrumentation,Stars & Planets,Theory",Yes,https://astro.illinois.edu/newsroom/job-openings,,,42.24629805,-83.22875952
